From:	IO::"memilham@CRDEC-VAX4.ARPA" 16-JUN-1988 12:50
To:	HAL::DALTON
Subj:	Optical Constants: Biotite

Received: from CRDEC-VAX4.ARPA by ames-io.ARPA with INTERNET ;
          Thu, 16 Jun 88 12:48:00 PDT
Date:     Thu, 16 Jun 88 15:41:49 EDT
From:     "Merrill E. Milham" <memilham@CRDEC-VAX4.ARPA>
To:       dalton%hal@AMES-IO.ARPA
Subject:  Optical Constants: Biotite
Message-ID:  <8806161541.aa19852@CRDEC-VAX4.CRDEC-VAX4.ARPA>
 
BIOTITE E // B-axis       M.R.QUERRY
       wl      wn      n-Dn    k-Dk     n       k      n+Dn    k+Dk
      (um)   (cm-1)
     2.5000  4000.0  1.5611  0.0151  1.6007  0.0164  1.7898  0.0232 BIOTITE B
     2.5000  4000.0  1.5611  0.0151  1.6007  0.0164  1.7898  0.0232 BIOTITE B
     2.5157  3975.0  1.5575  0.0203  1.5968  0.0220  1.7843  0.0311 BIOTITE B
     2.5316  3950.0  1.5575  0.0177  1.5967  0.0193  1.7843  0.0272 BIOTITE B
     2.5478  3925.0  1.5562  0.0133  1.5953  0.0144  1.7823  0.0203 BIOTITE B
     2.5641  3900.0  1.5565  0.0146  1.5957  0.0158  1.7828  0.0223 BIOTITE B
     2.5806  3875.0  1.5542  0.0163  1.5933  0.0177  1.7794  0.0250 BIOTITE B
     2.5974  3850.0  1.5520  0.0149  1.5908  0.0162  1.7759  0.0228 BIOTITE B
     2.6144  3825.0  1.5535  0.0152  1.5924  0.0165  1.7782  0.0233 BIOTITE B
     2.6316  3800.0  1.5544  0.0163  1.5934  0.0177  1.7796  0.0249 BIOTITE B
     2.6490  3775.0  1.5543  0.0133  1.5933  0.0145  1.7795  0.0204 BIOTITE B
     2.6667  3750.0  1.5514  0.0130  1.5902  0.0141  1.7751  0.0199 BIOTITE B
     2.6846  3725.0  1.5513  0.0176  1.5900  0.0192  1.7748  0.0270 BIOTITE B
     2.7027  3700.0  1.5511  0.0139  1.5899  0.0151  1.7746  0.0212 BIOTITE B
     2.7211  3675.0  1.5504  0.0185  1.5890  0.0202  1.7734  0.0284 BIOTITE B
     2.7397  3650.0  1.5498  0.0171  1.5884  0.0185  1.7725  0.0261 BIOTITE B
     2.7586  3625.0  1.5492  0.0171  1.5878  0.0185  1.7717  0.0261 BIOTITE B
     2.7778  3600.0  1.5496  0.0223  1.5882  0.0243  1.7722  0.0341 BIOTITE B
     2.7972  3575.0  1.5574  0.0208  1.5967  0.0226  1.7842  0.0319 BIOTITE B
     2.8169  3550.0  1.5561  0.0175  1.5953  0.0190  1.7822  0.0268 BIOTITE B
     2.8369  3525.0  1.5538  0.0174  1.5928  0.0189  1.7787  0.0267 BIOTITE B
     2.8571  3500.0  1.5569  0.0158  1.5961  0.0172  1.7834  0.0243 BIOTITE B
     2.8777  3475.0  1.5554  0.0129  1.5945  0.0140  1.7811  0.0197 BIOTITE B
     2.8986  3450.0  1.5558  0.0149  1.5950  0.0162  1.7818  0.0228 BIOTITE B
     2.9197  3425.0  1.5547  0.0123  1.5937  0.0134  1.7800  0.0189 BIOTITE B
     2.9412  3400.0  1.5530  0.0116  1.5919  0.0126  1.7775  0.0177 BIOTITE B
     2.9630  3375.0  1.5557  0.0122  1.5949  0.0133  1.7816  0.0187 BIOTITE B
     2.9851  3350.0  1.5525  0.0129  1.5914  0.0141  1.7767  0.0198 BIOTITE B
     3.0075  3325.0  1.5525  0.0139  1.5914  0.0151  1.7767  0.0212 BIOTITE B
     3.0303  3300.0  1.5522  0.0104  1.5910  0.0113  1.7762  0.0159 BIOTITE B
     3.0534  3275.0  1.5530  0.0107  1.5919  0.0116  1.7774  0.0163 BIOTITE B
     3.0769  3250.0  1.5516  0.0098  1.5904  0.0106  1.7753  0.0150 BIOTITE B
